Data,Descrizione,Beneficiario,Importo
2024-01-03,Canone mensile Meta Ads,Meta Platforms,-1200.00
2024-01-05,Fattura fornitore grafica,Studio Grafico Rossi,-850.00
2024-01-07,Accredito cliente Acme Srl,Acme Srl,5000.00
2024-01-10,AWS EC2 usage Jan 2024,Amazon Web Services,-320.00
2024-01-12,Stipendio gennaio,Mario Bianchi,-2800.00
2024-01-15,Affitto ufficio gennaio,Immobiliare Centro,-1500.00
2024-01-18,Canone Slack Pro,Slack Technologies,-45.00
2024-01-20,Accredito cliente Beta SpA,Beta SpA,3200.00
2024-01-22,Bolletta Enel,Enel Energia,-180.00
2024-01-25,Spese bancarie gennaio,Banca Nazionale,-35.00
2024-01-28,Acquisto materiali ufficio,Buffetti,-220.00
2024-01-30,Rimborso spese trasferta,Mario Bianchi,150.00
2024-02-02,Canone mensile Google Ads,Google Ireland,-980.00
2024-02-05,Accredito cliente Gamma Ltd,Gamma Ltd,7500.00
2024-02-08,Fattura consulente IT,Consult IT Srl,-1100.00
2024-02-10,Stipendio febbraio,Mario Bianchi,-2800.00
2024-02-12,Affitto ufficio febbraio,Immobiliare Centro,-1500.00
2024-02-14,Abbonamento Notion Teams,Notion Labs,-96.00
2024-02-18,Bolletta TIM fibra,Telecom Italia,-55.00
2024-02-20,Spese bancarie febbraio,Banca Nazionale,-35.00
2024-02-22,Accredito cliente Delta Srl,Delta Srl,2800.00
2024-02-25,GitHub Actions minutes,GitHub,-18.00
2024-02-28,Nota credito Studio Rossi,Studio Grafico Rossi,200.00
